id,sent0,sent1,label
63,You can use a checkbook holder to hold checks.,You can use a jellyfish to hold checks.,0
64,Actors are people who play characters in television or theatre,Lawyers are people who play characters in television or theatre,0
65,A man drove a car.,A giraffe drove a car,0
66,A small dog is called a puppy,A small dog is called a kitten,0
67,The man went to work,The parrot went to work,0
68,My daughter always takes bath in a shower and avoids bath tub,My daughter always takes bath in a kitchen sink and avoids bath tub,0
69,He killed him with a knife,He killed him with a programming language,1
70,They shared their popcorn at the cinema,The cinema shared popcorn with them,0
71,Rotten food usually smells nasty.,Rotten food smells nice.,1
72,An actor can wear a costume.,An actor wear a toaster.,0
73,The man slept in bed.,The man slept on the volcano.,1
74,She spoke to a man at the door.,She spoke to a ghost at the door.,0
75,You will find teachers in a school.,You will never see a teacher inside of a school.,0
76,She cuts a pizza with a knife.,She cuts a pizza with an advertising board.,1
77,They built a house.,They built the sun,0
78,The man put some muffins in the microwave,The man put some buildings in the microwave,1
79,There was a bird flying.,There was a chicken flying.,0
80,He played the harp very well,He played the cow very well,0
81,If your heartbeat stops then you are classed as dead.,You are still alive if you do not have a heartbeat.,1
82,He jumped on the trampoline,the trampoline jumped on him,0
83,Georgia Tech is a school.,Georgia Tech trains dragons,1
84,She was going to school in a bus,She was going to school in a lunch box,1
85,The moon turns full about once a month,The moon gets fixed and that's how it returns to full,1
86,The man paid the bill with cash.,The man paid the bill with water.,1
87,You are cooking the dinner,You are cooking the music,1
88,She write the story in paper,She write the story in water,1
89,A computer can run out of storage.,The storage in every computer is unlimited.,0
90,People cry when they are sad.,People only cry when they are angry.,0
91,Most people like to have coffee and doughnuts in the morning.,Most people like to have hamburgers and pudding in the morning.,1
92,Frank hit Will with a stone causing him pain,Frank hit Will with a pillow causing him pain,1
93,He put a sock on his foot.,he put the sock on the drum.,0
94,he shaved his beard,he shaved his teeth,0
95,She put mustard on a corndog.,She put mustard on a star.,0
96,they put on shoes to walk outside,they put on ghillie suits to go outside,1
97,He was playing music,He was playing fridge,1
98,A person can visit relatives.,A person is not allowed to visit their relatives.,1
99,Tight shoes cause discomfort.,Tight shoes are comfortable.,0
100,"A diet is a great way to lower blood pressure, and lose weight.",Low blood pressure is a hazardous way to diet and lose weight.,0
101,Plants can make carbohydrates,Plants can make computers,0
102,My friend like to eat non-veg food,My friend like to eat electronic goods.,1
103,france is in Europe,Europe is in france,0
104,He drove his car to London,He drove his car to the moon,1
105,"When a baby is born, that day is called its' birthday.",The babies birthday is the day their parents met.,0
106,A lady shops at Walmart,A sheep shops at Walmart,0
107,Drinking alcohol gets you drunk.,You can not get drunk from alcohol.,0
108,The gun shot a bullet,The fire hydrant shot a bullet,1
109,A forest is an area covered with trees,A forest is an area covered with snow,0
110,He built a building,The building built him,0
111,The grass is growing.,The grass is singing.,1
112,She cut the meat with a knife.,She cut the meat with a fridge.,0
113,I ran to the barn.,I ran to the sky.,1
114,People write with pens.,No one uses pens to write with.,0
115,The whale swims in the ocean.,The whale swims in a bathtub.,0
116,A boxer is likely to throw a punch in a boxing match.,A boxer would never punch in a boxing match.,0
117,There was a person drinking water.,There was a person drinking sulfuric acid.,0
118,She drank a cup of tea.,She drank a cup of tires.,0
119,He was changing tv channels with remote,He was changing tv channels with screwdriver,1
120,The whale swam through the ocean,The giraffe swam through the ocean,1
121,He moved his belongings to a new city,He moved a city to his belongings,0
122,He put the ice cream in the freezer,he put the ice cream in the closet,1
123,The plane was full of people,The people were full of planes,1
124,She went to the shop to buy bread,She went to the shop to buy hands,1
125,He took the trash out to the curb.,He took the curb to the trash.,0
126,Alice lit a candle at night,Alice lit a rock at night,1
127,She delivered a pizza.,She flew on a pizza.,0
128,A musician can play an instrument,A musician can perform a surgery,1
129,She brushed her teeth with a brush.,She brushed her teeth with a truck.,0
130,The man entered the house,The house entered the man,0
131,He put an orange on the shelf,He put a whale on the shelf.,0
132,Jill wrote a book about wizards.,Jill ate the wizard in her book.,0
133,He travels by a bus to reach the office.,He travels by a laptop to reach the office.,1
134,He buys a burger to eat.,He buys a book to eat.,1
135,The ice melted at room temperature.,The table melts at room temperature.,0
136,He walked to the store,He walked to mars,0
137,He raised a tambourine with his hands.,He lifted a tractor with his hands.,1
138,Dwight cut down a tree,Dwight cut down a mountain,0
139,he swam in the lake,he swam in the lava,0
140,He put a card in his wallet.,He put a horse in his wallet.,1
141,The woman wrote down the story with a pencil on paper,The woman wrote down the story with a spoon on paper,1
142,she ate a banana,she ate a brick,0
143,I use swords,Swords use me,0
144,Geralt drives his car every day,Geralt flies his car every day,1
145,She needed to call her mother but she could not find her phone,She needed to call her mother but she could not find her car keys,1
146,He served vegetables for dinner,He served a globe for dinner,1
147,He went to restaurant because he feels hungry,He went to  beauty parlour because he feels hungry,1
148,The Piano was played,The Piano was hit,0
149,today will be 24 hours,today will be 30 hours,0
150,A cup is for holding a liquid you plan to drink.,A cup is for holding a gas you plan to drink.,1
151,I dress myself,I dress a lion,1
152,He threw the ball into the basket.,He threw an anvil into the basket.,0
153,I like to eat boiled eggs,I like to eat cooked ice cream,1
154,He ate barbecue.,He ate a crane.,0
155,He danced on the floor,He danced on the spoon,0
156,A portrait is a painting or a photograph which focuses on the face of a person,A landscape is a painting or a photograph which focuses on the face of a person,0
157,The child rubbed mud on his face.,The child ate mud off of his face.,1
158,A man defrosted a chicken using a microwave.,A man defrosted a chicken using a lighter.,1
159,He was walking on the road.,He was walking on the water.,0
160,A shark eats a fish,A shark interviews a fish.,0
161,She lifted a chair.,She lifted a tractor.,0
162,She makes a phone call.,She makes a call by the stove.,0
163,The sun shines bright in the day,The sun shines bright in the night,1
164,The elephant eats,The book eats,1
165,The woman writes in the book.,The woman writes in the sky.,1
166,the country of Denmark exists,the country of liegenpoofa exists,1
167,Something you can find on a desktop is dust.,You will never find dust on a desktop.,0
168,Dogs eat dog food.,Dogs eat extension cords.,1
169,Children love reading stories,Children love doing the laundry,1
170,You can take a bath in a tub,You can take a bath in a blender,1
171,The coin was made of silver,The coin was made of cheese,1
172,A bread knife is used for cutting bread,A fork is used for cutting bread,0
173,She makes omelette with chicken's egg.,She makes omelette with horse's egg.,0
174,She lay on the bed to sleep,She lay on the pool water to sleep,1
175,The water on the stove is boiling.,The water froze on the stove.,0
176,A spider spun a web.,A horse spun a web,1
177,she bought minecraft to play on her xbox,she bought minecraft to play netball with,1
178,She put a phone in her bag.,She put a house in her purse.,1
179,She took the laptop in the car,She took a battle tank in the car.,1
180,He put the pills in his mouth.,He put the shoes in his mouth,0
181,He put a hat over his head,He put a teapot over his head,1
182,Dog's love eating meat.,You will never find a dog that likes to eat meat.,0
183,He opened the door,The door opened him,1
184,He rode his car across the highway,He rode his car across the ocean,0
185,I put my dog on the couch,I put my bowling alley on the couch,0
186,There was a snake wrapped around a tree.,There was an ant wrapped around a tree.,0
187,He played the piano with his fingers.,He played the piano with a ship.,1
188,A pocket knife is very useful.,A pocket knife is useless.,0
189,He ate a ham sandwich,He ate a lion sandwich,1
190,The cat bites a rubber ball.,The cat bites a cloud.,1
191,The man got in the car and drove off,The fish got into the car and drove off,0
192,Ohio is a state in America,Cleveland is a state in America,0
193,I baked a gluten-free cake.,I broiled a gluten-free cake.,0
194,He plays tennis with a tennis ball,He plays tennis with a basketball ball,0
195,There were a lot of people pulling a huge ten ton block.,There was one person pulling a massive ten ton block.,1
196,an apple a day keeps doctor away,a computer a day keeps doctors away,0
197,She put the shoe on her foot.,She put a shirt on her foot.,0
198,Rain fell from the sky,Whales rain from the sky.,1
199,A child can close a door.,A child can breath fire.,0
200,There was a lion hunting a zebra.,There was a zebra hunting a lion.,0
201,The dog chased the cat.,The dog chased the bed.,1
202,A ruler is used for measuring distance between things,Scales are used for measuring distances between things,0
203,A football is likely to be kicked by a footballer.,A footballer would never kick a football.,1
204,He went on holiday to Turkey,He went on holiday to Chicken,0
205,"When it is dark at home, you can turn on the light","When it is dark at home, you can turn on the heaters",0
206,A recipe is great way to cook a gourmet meal and avoid minor mistakes in the kitchen.,Cooking gourmet meals is the number one way to make mistakes such as kitchen fires.,1
207,He drinks beer in a mug,He drinks beer in a dog,0
208,The family came back from the movies,The family came back from the moon,0
209,Sugar is sweet for humans,Sugar is bad for humans,1
210,It rains often in London,It rains often in Sahara,1
211,The man had a pizza for dinner,The man had an automobile for dinner,0
212,She washed her hair with shampoo,she washed her hair with milk,1
213,taking a walk in the park can be good for your health,taking a dump in the park can be good for your health,1
214,Something you find at a water cooler is co-workers,Something you find at a water cooler is a living dinosaur,1
215,She jumped into the water of a pool.,She jumped into the water of a glass.,1
216,She lives in a home.,She lives in a snow globe.,1
217,John plays the piano.,John plays the milk.,1
218,People drink water to hydrate themselves.,You cannot hydrate yourself by drinking water.,0
219,I take my medicine,My medicine take me,1
220,He drew water from the bottle.,He pulled a fan from the bottle.,1
221,Tomorrow is Friday.,Tomorrow is a water bottle.,1
222,He cooked milk in the pan.,He cooks a bed in the pan.,0
223,Dirty dishes can be cleaned in a dishwater.,Dirty dishes cannot be cleaned in a dishwasher.,0
224,He put a cat into the cabinet.,He put a shark into the cabinet.,1
225,The girl likes to eat sweets.,The girl likes to eat plastic.,1
226,The dog barked at the mailman.,The cat barked at the mailman.,0
227,If you drink a lot in the pub you will become drunk,"If before you go to the pub and you drink a lot, then afterwards you are drunk",1
228,The woman played football,The woman played television,0
229,The eagle flew high in the sky,The eagle flies deep in the ocean,0
230,She went to the park on Sunday,She went to the moon on Sunday,1
231,100 is one hundred,200 is one hundred,0
232,She ran on the track.,She ran into the closet.,1
233,he drank apple juice,he drank paper,1
234,The girl was sleeping on a couch,The girl was sleeping on a spoon,1
235,I typed something on the keyboard,I typed something on the floor,0
236,The plane flew to Belize,The plane swam to Belize,1
237,He visited a dentist to check his tooth pain,he visited a mechanic to check his tooth pain,1
238,The dog goes for a walk three times a day.,The dog goes flying three times a day.,0
239,You need to buy a ticket to enter a cinema,You need your passport to enter a cinema,1
240,He didn't want to leave from inside his house.,He didn't want to leave from inside his mailbox.,0
241,He unlocked the door with a key.,He unlocked the door with a shoe.,0
242,He took his dog to the veterinarian for a health check-up.,He took his dog to the hairdresser for a health check-up.,0
243,One of the things you do when you wake up is brushing your teeth,One of the things you do when you wake up is saying good night,1
244,The Children were happy seeing the clown,The children were happy seeing the monster,1
245,He carved the ham with a knife.,He carved the ham with a spoon.,1
246,He took his dog to the veterinary to take his vaccines,He took his dog to the gym to take his vaccines,1
247,"In the morning when I wake up, I eat breakfast.","In the morning when I wake up, I eat dinner.",1
248,Potatoes is the plural of potato,Potatos is the plural of potato,0
249,I found a notepad on a table.,I found a soap on a table.,1
250,Something you might do while driving your car is slam on the brakes,Something you might do while driving your car is fly a plane,1
251,People went to church to pray,People went to restaurant to pray,0
252,He called the police to complain about the robber,He called the banker to complain about the robbery,1
253,Curtains stop light from entering the room.,Curtains let more light into the room.,0
254,He sent a text message in mobile,He sent a text message in lunch box,0
255,An armchair is where people sit and relax,An stove is where people sit and relax,1
256,He was sentenced to death in a trial.,The defendant sentenced the jury to death.,1
257,He drinks tea every morning,He drinks petrol every morning,0
258,"James read the last page of the book, and put it back on the book shelf.",James read the last page of the book and proceeded to eat it.,1
259,She pushed her trolley around the supermarket to collect groceries,She drove her car around the supermarket to collect groceries,0
260,You can see pictures in a museum,You can buy pictures in a museum,1
261,He packed his clothes in a bagf,He packed his clothes in a pen,0
262,She put her shoes on her feet,She put her shirt on her feet,1
263,He bought chicken to cook food,He bought plate to cook food,0
264,I want to play football on my xbox,I want to play football on my guitar,0
265,The student copied his professors notes.,The student called his professors notes.,1
266,Mobiles are easy to carry,Mobiles are used to cleaning,0
267,A bed is used for sleeping,A bed is used for watching television,1
268,My friend drank juice in a glass.,My friend drank sand in a glass.,1
269,She put a pie in the oven.,She put a pie in the bathtub.,1
270,She was eating chocolate,She was eating shoe,0
271,She got into bed to sleep.,She got into the bathtub to sleep.,0
272,She put a pizza in the oven.,She put a gorilla in the oven.,1
273,Umbrella is used during a rainy day.,Sunscreen is used during a rainy day.,1
274,we can cook food in the kitchen,we can have a shower in the kitchen,1
275,Food baked longer than recommended can burn,Food refrigerated longer than recommended can burn,1
276,Jim drove to the mall,The mall drove to Jim,1
277,She heated up the water to make tea.,She heated up the water to make icecream.,1
278,A sword is a weapon,A teddy is a weapon,1
279,A planet has a sphere shape,A planet has a square shape,0
280,He put frozen turkey in the freezer.,He put a cat in the freezer.,1
281,Grass is green,Grass is orange,1
282,Most plants have green leaves.,Plant can have buffalo for dinner.,1
283,The doctor gave vaccine through injection,The doctor gave vaccine through stethoscope,1
284,My house is white.,My house is homosexual.,0
285,You can buy beer in bottles,You can buy cigarettes in bottles,0
286,Eating lot of food makes you fat,Eating lot of food makes you tall,1
287,Adjectives are a part of speech,Adjectives are a part of pizza,1
288,It rains occasionally which is good for the trees and grass.,It rains occasionally which is horrible for the trees and grass.,0
289,If she is dead she won't be buying anything any more.,If she is dead she will buy a new house.,0
290,The dog jumped over a log.,The log jumped over a dog.,1
291,She worked out the answer on the calculator,She worked out the question on the calculator,0
292,She hung a picture frame on the wall.,She hung an elevator on the wall.,0
293,Anxiety disorders affect around 10% of people at any one time.,10% of disordered people are anxious about anything all the time.,1
294,Boats sail on the water.,Boats sail on the sand.,1
295,Doctors are good people,Burglars are good people,0
296,I wore a black tie to the funeral,I wore a rainbow bowtie to the funeral,1
297,The Teacher Scolded the Students,The Students Scolded the Teacher,0
298,They switched on the television to watch their favourite programme,They switched on the stove to watch their favourite programme,0
299,he kept ice cream in the freezer,he kept ice cream in oven,0
300,She was frying the nuts in hot pan,She was frying the nuts in freezer,1
301,Learning how to cycle is easy,Learning a language is easy,0
302,Michelle put a TV in the back of her car.,Michelle put a couch in the back of her car,1
303,you will find a rock in a mountain,you will find a shark in a mountain,1
304,The car crossed the river on the ferry.,The ferry crossed the river on the car.,0
305,The rain made my t-shirt wet.,The sun made my t-shirt wet.,1
306,she was swimming in hot  water.,she was swimming in hot oil.,0
307,Bella loves to dance in a ballroom in her pink dress,Bella loves to dance in a ballroom in her pink car.,0
308,Eggs usually used to eat,Eggs are usually used as cricket ball,0
309,One thing you will see at a Tyre change shop is a compressor,One thing you will see at a Tyre change shop is a juice maker,1
310,Mobile phones are good means of communication,Umbrellas are good means of communication,0
311,Winter coats are helpful in cold temperatures.,Winter coats are helpful in summer.,1
312,He ate an apple,He ate a mobile phone,1
313,Pencils contain a graphite core,Pencils contain a chocolate core,0
314,he cut the cheese with knife,he cut the cheese with axe,1
315,He took his family to restaurant for dinner,He took his family to restaurant for movie,1
316,Players play soccer with sports shoes,Players play soccer with mountain shoes,1
317,His reflection was visible in the mirror,His reflection was invisible in the mirror.,0
318,He was eating hotdogs,He was eating spoon,1
319,I will play the guitar in class tomorrow in front of students,I will play the table in class tomorrow in front of students,0
320,A lathe is used to shape material.,A lathe is only for making table legs.,1
321,Coffee is a drink with brown colour,Water is a drink with brown colour,0
322,People use computer to make money.,Computer use people to make money.,1
323,A policeman carries a gun.,A policeman carries a sword.,0
324,People can row boats.,Boats can row people.,1
325,bridges are built to cross rivers,bridges are built to attract tourists,0
326,He puts ham on his sandwich.,He puts nails on his sandwich,0
327,Something you find in a living room is a chair,Something you find in a living room is a cheetah,1
328,A fox is an animal,A fox is a bird,0
329,He puts the lotion in the basket,He rubs the lotion on the basket,1
330,You are likely to meet a car accident on the road,You are likely to meet a car accident inside home,1
331,No person would want to live with rats,No person would want to live with a cat,0
332,He read a book in the table,He read a wardrobe in rhe table,0
333,A grey cat chases a small rat away,A small rat chases a grey cat away,0
334,She went to the hospital to have a surgery.,She went to the clothing store to have a surgery.,1
335,The keyboard makes a clicking sound when it is typed on.,The keyboard makes a splashing sound when it is typed on.,1
336,Cake is a common food item at birthday parties.,Chalk is a common food item at birthday parties.,0
337,A joey is a baby kangaroo,A fan is a baby kangaroo,0
338,He drove his car down the street.,He drove his car down the river.,0
339,Cars have got four wheels,Cars have got ten wheels,0
340,He clicked the computer screen with mouse,he clicked the computer screen with dog,1
341,She will give birth after 9 months of pregnancy,She will give birth after 2 months of pregnancy,0
342,A passport is necessary to travel from one country to another.,A passport is necessary to travel from one restaurant to another.,1
343,Jonathan smells bad when organic litter is near,Jonathan smells good when organic litter is near,1
344,A tunnel is a way to get from one side of a water way to another.,A spaceship is a way to get from one side of a water way to another.,0
345,He bought a gift for his friend wedding,he bought a gift for his friend's funeral,0
346,She applied sunscreen on her face in summer,she applied toothpaste on her face in summer,0
347,Four quarters is equal to one whole.,Seven quarters is equal to one whole.,0
348,Apples grow on trees,Phones grow on trees,0
349,Pencil can be erased more easily than crayon,Permanent marker can be erased more easily than crayon,0
350,It is likely that she will get into university with her pass in the qualifying exam,It is likely that she will get into university with her fail in the qualifying exam,0
351,He called his wife on her mobile,He called his wife on her pen,0
352,She put a dog in the car.,She put a train in the car.,0
353,The wood plank was floating on the lake,The steel plank was floating on the lake,0
354,He stored music files in a pen drive,He stored rice in a pen drive,0
355,"A basil plant needs sun, water and soil in order to flourish.","An infant needs sun, water and soil in order to flourish.",1
356,I drive a car to work every day,I ride a leopard to work every day,0
357,You can use a pool to swim,You can use a pool to place an elephant,1
358,The truck drove on the highway.,He drove the truck from continent to continent.,0
359,I walked on land,I walked on water,1
360,There are four stools around the table,There are four mountains around the table,0
361,The girl rode the bike.,The ant rode the bike.,0
362,He checked time on his watch,He checked time on his shoe,1
363,The criminal was sentenced to 2 years in prison.,The criminal was sentenced to 2 years in library.,0
364,He was swimming in a swimming pool,He was swimming in a ground,1
365,Bill has got two friends in Belgic,Bill has got two islands in Belgic,1
366,The rabbit went down the hole.,The unicorn went down the hole.,0
367,My Dog eats chicken preparation for dinner.,My Dog eats wood for dinner.,0
368,Eating a lot of sugary foods can cause obesity,Eating a lot of sand can cause obesity,0
369,He waved hands at his friends,He waved hands at his bike,0
370,John parked his car in the garage,john parked his car in the bathroom,0
371,He was reading a book,He was eating a book,0
372,A person must exercise more to have a longer life,A person must eat more meat to have a longer life,0
373,He liked the food made by the chef,He liked the food made by the dog,0
374,He got into the bed to sleep.,He got into the bathtub to sleep.,0
375,Beef stew should be cooked at 325 degrees for 3 hours,"Beef stew should be cooked at 3,250 degrees for 36 hours",0
376,She eat a lot of food.,Food eat her a lot.,1
377,You can find windows on a building,You will always find windows on a building,1
378,It is desirable to put children's in school at the age of six,It is desirable to put children's in jail at the age of six,0
379,Going to work is for making money.,Work is going to make money.,0
380,The student uses a pencil to take a test,the student uses a wand to take the test,0
381,A purse is a fashionable way to carry around essential items.,A purse is a fashionable way to carry around roller blades.,0
382,A kite is flying in the air.,A kite is crying in the air.,1
383,He went to saloon to do a hair cut,He went to theater to do a hair cut,1
384,"When driving, it's important to keep both hands on the steering wheel.","When driving, it's important to keep both feet on the steering wheel.",1
385,He took his animal to a vet for treatment,He took his animal to a painter for treatment,0
386,Some dogs bite men,All men bite dogs,1
387,The cops arrested the Thief,The Thief arrested the cops,1
388,Mom put baby into the stroller to walk to the park,Mom put the baby down the water slide to walk to the park,1
389,She went to school,The school went to her,0
390,He drives a steamship at his job.,He drives a steamship at his job in the stadium.,0
391,he was eating cake,he was eating grass,1
392,You would eat lunch because you are hungry,You would eat a horse because you are hungry,0
393,He travelled to Europe by plane.,He travelled to Europe by bird.,1
394,The man threw the garbage into the dumpster,The man threw the garbage into his mouth,1
395,"After throwing a ball upwards, it will come down again","After throwing a ball upwards, it will keep going up",0
396,Some monkeys jump from one branch to another on a tree,Some dogs jump from one branch to another on a tree,0
397,The adults have careers.,The babies have careers.,0
398,people usually eat soup with spoons,people usually eat soups with knives,1
399,He unlocked the door,He unlocked the wall,0
400,She cooked rice in the pan.,She cooked rice in the bathtub.,0
401,He gave her a necklace for her birthday.,He gave her a rock for her birthday.,1
402,He replaced the bulb in the lamp with a new LED bulb,He replaced the bulb in the lamp with a salmon,0
403,Edward installed solar panels on the roof,He put a nuclear plant on the roof,1
404,Four plus six equals ten,Ten plus six equals ten,1
405,I ate a biscuit,I ate a bike wheel,0
406,You clean home everyday.,Home auto cleans itself.,0
407,The airplane flew high into the sky.,The sailboat flew high into the sky.,0
408,She walked into the house,She walked over the house,1
409,A paperclip clips paper together.,A paperclip cuts paper into pieces.,1
410,Music makes humans feel alright.,Music feel alright with humans.,1
411,I wear clothes everyday.,Clothes wear me everyday.,1
412,The students went to the teacher to get the assignment corrected,The students went to the plumber to get the assignment corrected,1
413,He was watching his favorite show in television,He was watching his favorite show in oven,1
414,The dog barked at the horse,The horse barked at the dog,1
415,She used a telephone to call her mother,She used a banana to call her mother,1
416,He caught a fish with a fishing rod,He caught a fishing rod with a fish,1
417,Girls have two boobs,Girls have three boobs,0
418,The chef cooked food on stove,The chef cooked food on speaker,1
419,He was playing a chess game,He was playing a shoe,0
420,The doctor checked the temperature with thermometer,The doctor checked the temperature with stethoscope,1
421,They were catching fish in the lake,They were catching fish in the cooker,0
422,Teachers teach students,Students teach teachers,0
423,He was drinking water to quench his thirst,He was drinking cake to quench his thirst,0
424,He was washing his car with water,He was washing his car with sandpaper,1
425,He was doing exercise in gym,He was doing exercise in fridge,0
426,Protecting your own interests is a matter of survival.,Protecting irrelevant matters is a matter of survival.,1
427,He sent an email from his computer,He sent an email from his fridge,0
428,John likes to have ice cream after dinner.,John likes to have arsenic after dinner.,1
429,He saw a spider web,He saw a lion web,1
430,The man hit a home run.,The man hit a football for a home run.,1
431,She ate fruit for breakfast.,She ate dirt for breakfast.,0
432,At night moonlight show their path,At night sunlight show their path,1
433,The weather is so cold that it began to snow.,The weather is so hot that it began to snow.,1
434,She sewed an outfit on the sewing machine. She sewed a,door on the sewing machine. A door is too,1
435,water is essential for health,water is unwanted thing to body,1
436,A sailboat is docked at the pier.,An antelope is docked at the pier.,1
437,a dog wags its tail when they are excited,a dog wags its tail to call its mom.,1
438,She was wearing glasses for bad eyes,She was wearing spoon for bad eyes,0
439,The driver started the car engine with the key,The driver started the car engine with pen,1
440,QWERTY are the first 6 letters of a standard English keyboard,12345 are the first letters of a standard English keyboard,0
441,Bears eat honey,Bears eat benches,0
442,I let the clown drive my car.,I let the tiger drive my car.,0
443,He was playing cards game with his friends,He was playing cards game with his bike,1
444,The military arrested the terrorists.,The terrorist arrested the military.,0
445,A doctor examines your body,A doctor examines fruit,1
446,He poured a tall glass of water.,He poured a tall glass of mud.,0
447,His neighbor has Donated his eyes,His neighbor has donated his Sweat,0
448,The cat sat on the mat.,The  mat sat on the cat.,0
449,he put the books in the bookshelf,he put the books in the wine cellar,0
450,He put the chair in the room,He put the chair on the room,1
451,I like to eat a bowl of popcorn during movie time,I like to eat a bowl of pebbles during movie time,1
452,he wrote with a pen,he wrote with a car,0
453,He wore a sleeveless shirt,He wore a spoon,1
454,The baby played with blocks.,The baby played with fire.,0
455,The universe is endless.,The universe is limited like a box.,1
456,He likes to wear shirt,He likes to wear blouse,1
457,A generator generates electricity,A refrigerator generates electricity,1
458,The people are shouting,The people are quietly shouting,1
459,A farmers market is a good place to find fresh produce.,A pillow factory is a great place to find fresh produce.,1
460,a movie is meant simply to be viewed,a game is meant simply to be viewed,1
461,He covered the bed with a bedspread,He used a handkerchief to cover the bed,1
462,Printers print in white paper,Printers print in black paper,1
463,ships are used to transportation of materials and peoples,ships are used to teleportation of materials and peoples,0
464,People who catch fish for living are called fishermen,People who catch criminals for living are called fishermen,0
465,We need to breath Oxygen to live,We need to breath Twinkies to live,1
466,He pluck the flower from the plant,He pluck the flower from the stone,0
467,Top hats are no longer worn as much as in previous years,Clothes are no longer worn as much as in previous years,1
468,He ate a tomato from the fridge,He ate a tomato from the dirt,1
469,The moon revolves around the Earth,The sun revolves around the Earth,0
470,A girl was driving the car,A cat was driving the car,1
471,It was raining and he was holding umbrella,It was raining and he was holding the mountain,0
472,People built temple to worship god,People built temple to watch movies,0
473,We always go to park and play during school holidays,We always go to hospital and play during school holidays,1
474,A guitar is a musical instrument,A car is a musical instrument,1
475,A dog ate a caterpillar.,A caterpillar ate a dog.,0
476,Most families have their own bed,Most families have their own train,0
477,we can play with a football,we can eat a football,1
478,An anchor is made of iron,A mat is made of iron,0
479,Silver is for making jewelry,Silver is for making food,0
480,She made a doll with cotton.,She made a doll with oil.,1
481,"If a person wants to exercise, they go to a gym.","If a person wants to exercise, they go to a pizza parlor.",1
482,we can play cricket with a cricket bat.,we can play cricket with the basket ball,0
