id,sents
367,My Dog eats chicken preparation for dinner.
368,Eating a lot of sugary foods can cause obesity
369,He waved hands at his friends
370,John parked his car in the garage
371,He was reading a book
372,A person must exercise more to have a longer life
373,He liked the food made by the chef
374,He got into the bed to sleep.
375,Beef stew should be cooked at 325 degrees for 3 hours
376,She eat a lot of food.
377,You can find windows on a building
378,It is desirable to put children's in school at the age of six
379,Going to work is for making money.
380,The student uses a pencil to take a test
381,A purse is a fashionable way to carry around essential items.
382,A kite is flying in the air.
383,He went to saloon to do a hair cut
384,"When driving, it's important to keep both hands on the steering wheel."
385,He took his animal to a vet for treatment
386,Some dogs bite men
387,The cops arrested the Thief
388,Mom put baby into the stroller to walk to the park
389,She went to school
390,He drives a steamship at his job.
391,he was eating cake
392,You would eat lunch because you are hungry
393,He travelled to Europe by plane.
394,The man threw the garbage into the dumpster
395,"After throwing a ball upwards, it will come down again"
396,Some monkeys jump from one branch to another on a tree
397,The adults have careers.
398,people usually eat soup with spoons
399,He unlocked the door
400,She cooked rice in the pan.
401,He gave her a necklace for her birthday.
402,He replaced the bulb in the lamp with a new LED bulb
403,Edward installed solar panels on the roof
404,Four plus six equals ten
405,I ate a biscuit
406,You clean home everyday.
407,The airplane flew high into the sky.
408,She walked into the house
409,A paperclip clips paper together.
410,Music makes humans feel alright.
411,I wear clothes everyday.
412,The students went to the teacher to get the assignment corrected
413,He was watching his favorite show in television
414,The dog barked at the horse
415,She used a telephone to call her mother
416,He caught a fish with a fishing rod
417,Girls have two boobs
418,The chef cooked food on stove
419,He was playing a chess game
420,The doctor checked the temperature with thermometer
421,They were catching fish in the lake
422,Teachers teach students
423,He was drinking water to quench his thirst
424,He was washing his car with water
425,He was doing exercise in gym
426,Protecting your own interests is a matter of survival.
427,He sent an email from his computer
428,John likes to have ice cream after dinner.
429,He saw a spider web
430,The man hit a home run.
431,She ate fruit for breakfast.
432,At night moonlight show their path
433,The weather is so cold that it began to snow.
434,She sewed an outfit on the sewing machine. She sewed a
435,water is essential for health
436,A sailboat is docked at the pier.
437,a dog wags its tail when they are excited
438,She was wearing glasses for bad eyes
439,The driver started the car engine with the key
440,QWERTY are the first 6 letters of a standard English keyboard
441,Bears eat honey
442,I let the clown drive my car.
443,He was playing cards game with his friends
444,The military arrested the terrorists.
445,A doctor examines your body
446,He poured a tall glass of water.
447,His neighbor has Donated his eyes
448,The cat sat on the mat.
449,he put the books in the bookshelf
450,He put the chair in the room
451,I like to eat a bowl of popcorn during movie time
452,he wrote with a pen
453,He wore a sleeveless shirt
454,The baby played with blocks.
455,The universe is endless.
456,He likes to wear shirt
457,A generator generates electricity
458,The people are shouting
459,A farmers market is a good place to find fresh produce.
460,a movie is meant simply to be viewed
461,He covered the bed with a bedspread
462,Printers print in white paper
463,ships are used to transportation of materials and peoples
464,People who catch fish for living are called fishermen
465,We need to breath Oxygen to live
466,He pluck the flower from the plant
467,Top hats are no longer worn as much as in previous years
468,He ate a tomato from the fridge
469,The moon revolves around the Earth
470,A girl was driving the car
471,It was raining and he was holding umbrella
472,People built temple to worship god
473,We always go to park and play during school holidays
474,A guitar is a musical instrument
475,A dog ate a caterpillar.
476,Most families have their own bed
477,we can play with a football
478,An anchor is made of iron
479,Silver is for making jewelry
480,She made a doll with cotton.
481,"If a person wants to exercise, they go to a gym."
482,we can play cricket with a cricket bat.
483,I would learn a language because i need to travel
484,She can see a ship in the sea
485,He listened to the music on mobile phone
486,The pen ran out of ink
487,He asked his wife to help in his office work
488,She took the clothes out of the wardrobe
489,You can improve your wifi signal by removing obstructions between your device and router
490,He paid the bill with his credit card
491,A barber shop is for getting hair cuts.
492,Thunder is heard after lightning
493,people use lift  in a building to avoid stairs
494,He was painting the house with brush
495,A lion is something you will find at a forest
496,The chicken laid an egg
497,A man walked into the bank and made a deposit
498,Many Americans can eat at restaurants.
499,My favorite fruit is apple.
500,The policeman gave him a ticket for speeding.
501,George went to the beach to get some sun
502,He was so happy that he couldn't stop smiling.
503,He wore helmet to protect his head
504,We can see stars at night
505,About fifty people get in to a bus
506,The two children threw a ball back and forth.
507,staying healthy requires eating healthy food
508,He wore glasses for eye
509,He murdered the shopkeeper with rifle
510,English is a universal language
511,Books are suppose to be read
512,He checked the time in his watch
513,She went to the hairdresser to get ready for her wedding.
514,The dog was chasing his tail
515,He put on his shoes and went outside
516,The dog barked because he heard people walking down the street.
517,He poured coffee into his cup.
518,she went to library to read the books.
519,Water in solid form is ice.
520,An ant is smaller then a horse.
521,You would apply for a job because you want money
522,You will find the driver of a bus in the front seat
523,The cat wants to go through the door.
524,he went to blood bank to donate blood
525,He was travelling to office in his bike
526,Cyclists ride a bike in a competition
527,The pilot was flying the plane
528,he put an apple in the fridge
529,A car needs four wheels and an engine in order for it to be standard.
530,The newly married couple gave birth to a boy baby
531,The President Ordered the Military to Attack
532,a man drink beer in a bar
533,They were playing football in the ground
534,My nose is stuffed with boogers.
535,She washes her hair everyday with a mild shampoo
536,She drank water from her water-bottle
537,"Since my friend is a recovering alcoholic, she only drinks sodas at restaurants."
538,He went to theater to watch movie
539,He made a model plane with match sticks
540,The kitten ran through the bushes.
541,A candle can burn for hours.
542,she put a ice cream into the fridge
543,"Stacey wanted to have some fun, so she went out to the club"
544,Weapons are used in war
545,Tom went to the job interview because he wanted money
546,he withdrew cash from the bank
547,I will be at the hospital tomorrow for my antenatal.
548,He deposited money in the bank
549,My wall is white.
550,A library contains tons of bookshelves
551,the guy won in the election
552,Dogs like eating sausages
553,She pushed her trolley around the supermarket to collect groceries
554,He wrote a letter to his wife on a paper
555,He wrote in a paper with a pen
556,She killed a deer when she went hunting.
557,You find water in tears
558,I buy milk and put it in the fridge.
559,A flamingo is a type of bird
560,He was playing games on his computer
561,A weightlifter must life weights to qualify as a weightlifter.
562,birds can fly long distances
563,We turn the AC on to cool ourselves down.
564,He mowed the lawn in the morning.
565,She put a pie in the oven.
566,She kicked the ball down the street.
567,The waiter brought a  roasted chicken to eat.
568,He used warm clothing for skying
569,The dog was running
570,My cat is lovely.
571,Hybrid cars pollute little in the city
572,Apples grow on trees.
573,She have cat pet named muffin
574,A total of 2000 students enrolled into the University of Portsmouth this year.
575,It is Friday today.
576,He went to the super market to buy groceries
577,I looked into the mirror.
578,He watch television daily
579,Cats are commonly kept as pets.
580,A hot mug of coffee is a great way to start the day.
581,The girl walks the dog .
582,Cockroaches are black insects
583,If you want to go to shopping then you should go to a shopping mall
584,The first thing people usually do in the morning is eating breakfast
585,He needs to close his mouth to stop talking.
586,My friend brushed her hair with a brush.
587,The girl has severe anxiety in public.
588,Bartenders serve drinks to thirsty customers.
589,The grass is green when it rains.
590,The little boy climbed the tree.
591,I have a car.
592,A car key is needed to power on the car
593,He kept a book on the shelf
594,"To cook pasta you need a pot, water and a stove."
595,There was a snake hissing at a horse.
596,There are seven days in a week.
597,You can learn to speak many languages if you practice daily.
598,If you want to get something then you should buy it.
599,Sometimes drinking alcohol causes accidents
600,Boo is what a ghost says on halloween.
601,brain is in the head
602,Beer contains alcohol
603,You can find pen and paper at the office.
604,"Oranges are round, juicy, and sweet."
605,He opened the door with key
606,I saw a man carrying a baby.
607,He is driving the car
608,paddy is cultivated in fields
609,He ate a large hamburger
610,she collected woods to build a bonfire
611,He Puts the paint on his body.
612,Tom reads the newspaper.
613,Giraffes are tall animals.
614,You can hang a picture putting it into a frame
615,The school went to a zoo.
616,The King  is a queens husband.
617,A mountain is higher than a valley
618,Cookies are a well-loved dessert.
619,He boiled the water on stove
620,A coat is made of wool
621,You need a telephone to call someone.
622,People fly on planes to travel far in a short time
623,The dog ate a can of dog food.
624,She kept a mobile phone in her handbag
625,People can ride a bike at summer
626,He took his bicycle to the mechanic for repair
627,There was a house made of bricks.
628,Lina put bread in the toaster.
629,There was an eagle flying in the sky.
630,She applied makeup on her face.
631,He went to science laboratory to do an experiment
632,The Family takes a family vacation to the beach.
633,smoking causes cancer
634,Ryan is calling his mom on the phone.
635,A fire can be extinguished using water.
636,The temperature is high in Africa.
637,She was eating an ice cream
638,He ate dinner at a restaurant
639,To be healthy you should make sure to get your vegetables everyday.
640,The boy happily chewed a piece of gum.
641,She goes swimming in the pool.
642,An opera is a type of entertainment
643,Angela called the police because she was at risk
644,We ate pizza for lunch.
645,There was a cockroach inside the can.
646,Part of walking a dog is cleaning up after them.
647,He makes a beautiful painting.
648,sun makes the earth warm
649,The boy throws a football .
650,The bathroom is useful when you have a hygiene issue.
651,My wife enjoys singing in the shower.
652,SHE LOVES TO EAT CRABS.
653,You can find chocolate in a groceries store
654,You will find aircraft at an airport
655,She died from a gun shot.
656,You find students in a school
657,Generally people sleep during night
658,Going to the park is usually very funny for dogs
659,Children often read picture books.
660,He went for fishing to a river and caught one fish
661,Golfers play golf
662,You can park a motorbike in a parking lot
663,Her favorite hobby is to swim in the pool.
664,He kicked the ball into the post.
665,A cop pointed his gun at a thief and fired a bullet
666,There was an elephant in the zoo.
667,John drove his car to the store after dinner
668,all rivers are from mountains
669,The woman Flies in a hot air ballon
670,Money is high demand to live.
671,Police arrested the criminal
672,I went to the hospital to pick up my eye prescription.
673,"The last thing you do when you go to see a movie, is go home."
674,He needs to study hard to pass in the examination
675,He filled water in a bottle
676,He cooked a recipe that he has seen on tv
677,The girl ate a brigadier.
678,He put turkey in the fridge.
679,You can drive your car to a museum
680,during war soldiers started firing bullets to enemy
681,His car kept overheating so he brought it in to his mechanic.
682,Before driving a car you have to get a license.
683,We eat dinner at night
684,She let her husband drive her car
685,Jhone have a pet cat
686,If you want to sail the sea you need a boat
687,You can go for swimming in a pool
688,She went to the movies to watch a new movie.
689,he was driving the car on the road
690,Sports are a great way to meet new people.
691,Writing on the computer is easy.
692,Women write books
693,He killed a man with a gun.
694,he drank a glass of water
695,Punk Music is all about Moshing.
696,Susy cleaned her home with bleach
697,The golf ball went into the golf hole
698,she used knife to cut fish
699,Travis rides his bike to school.
700,Everyday he opens his shop and starts writing the current menu on the chalk board.
701,Cake is baked in an Oven.
702,Biker puts gasoline in bike tank
703,He boiled the water to drink
704,He drives a car in the road
705,"Texas is a large state,"
706,A car parked in the garage.
707,The boat is in the pond.
708,He cooked sphegatti in his kitchen
709,You must circulate with your car on the road
710,He fell of the chair.
711,Bathrooms come equipped with mirrors.
712,Something you will find at a zoo is a Giraffe
713,A video recorder can be used to tape  television show
714,Train will leave the railway station in ten minutes
715,He filled the bathtub with water.
716,You can use a house to live in
717,Jack put the stack of cards in his desk
718,He goes to a gym to do fitness workout
719,My mom turned on the tv with the remote.
720,Water is necessary for cultivation
721,Jack put his pants in the washing machine
722,This film was directed by the famous film director
723,He turned on the light since it was dark
724,He typed 400 words in 10 minutes with his electronic keyboard.
725,He jumped from the building to commit suicide
726,You can wave to salute a person formally
727,Making money is hardwork for any human.
728,The dishes sit on the table.
729,Death happens when you are no longer breathing.
730,The child reads a book.
731,He wants to become an astronaut
732,Cats and dogs can be pals
733,An ocean is larger then a puddle.
734,They eat at the cafe.
735,He put spice on his food.
736,He went to the grocery store to buy some fruits.
737,He put milk into his coffee
738,The President is a decision maker.
739,He closed one eye means he opened the other eye
740,A navaja is a type of knife
741,He was unhappy in his job and decided to try and find a new place to work.
742,A television is rectangular
743,Usually people sleep in bedroom
744,Scientists sent satellite in a rocket to space
745,You will be buying vegetables from the market
746,A phone is a communication device
747,while she watching the river she saw a fish jumping
748,He slept in the bed
749,The last thing you do when you take a course is take an exam
750,Sally writes her own paper to pass the class.
751,Children play soccer with a ball
752,she had potato with her to eat
753,the house fly fell in the tea cup
754,He just won 100 dollars.
755,Sue likes to wear shoes to the beach
756,Barbie is kens girl.
757,The plant grows on earth.
758,he drove a car
759,She lit herself a cigarette.
760,Susie cuts hair for a living.
761,He took tablet for headache
762,You can use a car to go places
763,I put the clothes in the washing machine.
764,When you are sick you go to a doctor
765,He bought a pack of apples at the local grocery store.
766,"A child might call her father ""Papa"""
767,Reading books is a very common hobby
768,Fishing roads are used to catch fish
769,Sugar is an ingredient used in preparing food
770,The plane is flying between the clouds.
771,He used his lawnmower to cut the grasses
772,I ate a pile of berries for breakfast
773,Singing is a learning task.
774,she cant hold hunger she ran in to a restaurant
775,The musicians composed a song in a studio
776,Old books are as good as new books
777,The pony lives in the  barn.
778,Soda that is kept in the freezer turns into a slush.
779,The water from the shower is warm.
780,He put dirty clothes in the washing machine.
781,Mustaches are usually located on faces.
782,I put the car seat in the car.
783,He visited an art dealer to purchase a painting
784,You are likely to find a hotel room near your downtown area.
785,She walked her dog down the street.
786,the street dogs were chasing the pet cat
787,The NBA is a basketball league
788,Situation: You drink whiskey mixed with soda.
789,He used a cellphone to call the ambulance.
790,People go to the hairstylist to have their hair cut.
791,Music is soothing activity .
792,Eat all your vegetables.
793,The air is super cool in antarctica
794,The astronauts went to the moon.
795,Stanley keeps his phone in his pocket at all times.
796,You put bread into a toaster to make toast.
797,The girl dove in the water of the beach.
798,Automobiles use different fuels
799,A wallet contains tickets
800,people like to smoke cigarette
801,He wrote his name on the white paper with blue pen in his right hand.
802,You can use a finger to warn.
803,Working is an effective task in life.
804,A bird was flying in the sky
805,One dog can eat a whole chicken.
806,The girl looks for car.
807,You need a keyboard to type on a computer
808,Walls are always painted
809,Shoes are worn on feet
810,Fire can destroy a building
811,I drove my car into my house garage.
812,He eats from a cereal bowl
813,I kiss a girl every morning.
814,You find graves in a graveyard
815,Birds lay eggs.
816,Horses are animals you can ride on.
817,he rode his horse to the town square
818,Boiling water is hot.
819,He like to eat Rice
820,Sarah has got three mates in her apartment
821,She poured water into a cup.
822,The airplane entered the hangar
823,The woman cooked a delicious meal.
824,Smiling is something anyone can do.
825,Sound is sense for your ears.
826,She kisses her baby every night.
827,Grandpas are always the parents of someone.
828,The mechanic fixed my car while it was in the shop.
829,"When there is a serious accident, you call 911"
830,She Gets scared by watching horror movies.
831,He found a missing watch inside his wardrobe.
832,He went to the park to run with his dog.
833,The Sun tells the time in day time.
834,I am sitting in a plastic chair
835,The paint on the wall is dripping.
836,The dog ran inside the house
837,people eat food because of hunger
838,During winter people set bonfire at home
839,Pablo goes to the dance to meet a girl
840,Skyscrapers are large.
841,Men are called males
842,A keyboard has got a lot of keys
843,Easter is where the easter bunny appears.
844,she won gold medal for finishing first in marathon
845,He used his brain to think possible accidents
846,A screwdriver is put in a toolbox
847,People watched lion walking in the zoo
848,He ate a bologna sandwich.
849,pour milk in the tea cup
850,Berry is smoking.
851,He put the groceries away in the cabinet.
852,I bought groceries at the Farmers market.
853,You need money to pay bills
854,Cashier is a common job for people to have.
855,she went to church for her prayers
856,Julie's birthday in on the 28th of February.
857,Computers run on batteries
858,Some doors open by turning the knob and pulling.
859,Reading books helps you become smarter
860,He put eggs in the fridge
861,Situation: I am sitting on a chair
862,Yesterday my neighbor spoke to me.
863,There was a ship sailing in the sea.
864,You eat with your teeth
865,Running is an easy form of exercise.
866,A fish has gills to breathe under water.
867,He arrived at the airport to catch the flight
868,He was immediately taken to the hospital by an ambulance.
869,Blue is the color of the sky.
870,Put clothes inside the washing machine
871,The ostrich raced across the road and into the field
872,People often live in flats
873,Frank read thirty books this year.
874,Dave ate my pizza.
875,Children went to the zoo to see animals
876,The best way to make banana bread is with older bananas.
877,Kittys are small
878,We need water to be alive
879,The bear ate the garbage
880,Swimming pools are filled with water
881,MY FRIEND AKCHAYA  EATS KITKAT DAILY.
882,They ate ham in the afternoon
883,Your new fragance smells bad
884,my  brother went to beach
885,Flowers can grow in a garden
886,I just talk with my mother by my mouth
887,he typed on his computer using a keyboard
888,he did hear music in his mobile music player
889,Jupiter is a sphere
890,HE WAS SEND TO A HOSPITAL AFTER HE MET AN ACCIDENT.
891,There are 50 states in the USA.
892,I will use the Microwave to heat up my food.
893,She went to buy cosmetics in the shopping mall.
894,She opened the door with her key
895,Children can play in the yard
896,you can find a whale in the ocean
897,my brother buy plastic
898,He dipped his chips in salsa.
899,He dried his cloth in sunlight
900,People usually donate presents at Christmas
901,She went swimming in the lake.
902,they saw the film in tv
903,You should get a colonoscopy to check for colon cancer.
904,my brother buy a car toady
905,Squids are aquatic creatures
906,the children played in the park
907,A hospital takes care of sick people.
908,Guns fire bullets through explosive force.
909,The Moon orbits Earth.
910,She fed her cat early this morning.
911,I love eating any pastry made with wheat.
912,I  CANNOT COUNT STARS.
913,He climbed up a mountain using his mountain bike
914,The doctor removed my tonsils.
915,He ordered pizza through the mobile
916,he bought a book to read
917,A pentagon has five sides.
918,the pedestrian walks on the sidewalk and the car on the road
919,A box of chocolates is a perfect gift for children.
920,She drank coffee out of a mug
921,He went to a marriage in car
922,Bears are a type of mammals
923,I fed my dog.
924,You can find an organ in the church.
925,The family ate hamburgers at the party.
926,He likes to dance with his friends.
927,Walking in rain make his dress wet by water
928,Steam is water vapor.
929,Dolphins from the sea are blue
930,He ate ice cream for dessert.
931,I turned on the air conditioning
932,He filled his car with gasoline.
933,I always eat oatmeal in the morning.
934,Anime is an animation
935,HE CHATS WITH HIS FRIEND BY USING PHONE.
936,Zoos contain many strange animals.
937,she ran in the race and won a prize
938,Daniela is a beautiful woman
939,People fight each other when angry.
940,i went to get the patrol at patrol bunk
941,He fell asleep on the couch.
942,He won the gold medal in a race
943,She hung a poster on the wall.
944,He ate a sandwich for lunch.
945,The cop arrested the robber.
946,The cat jumped onto the bed
947,I went to the bank to Deposit my money
948,I made a cup of coffee
949,Hand is part of human body.
