id,sentence,label
288,It rains occasionally which is horrible for the trees and grass.,1
289,If she is dead she will buy a new house.,1
290,The dog jumped over a log.,0
291,She worked out the question on the calculator,1
292,She hung an elevator on the wall.,1
293,Anxiety disorders affect around 10% of people at any one time.,0
294,Boats sail on the water.,0
295,Burglars are good people,1
296,I wore a black tie to the funeral,0
297,The Students Scolded the Teacher,1
298,They switched on the stove to watch their favourite programme,1
299,he kept ice cream in oven,1
300,She was frying the nuts in hot pan,0
301,Learning a language is easy,1
302,Michelle put a TV in the back of her car.,0
303,you will find a rock in a mountain,0
304,The ferry crossed the river on the car.,1
305,The rain made my t-shirt wet.,0
306,she was swimming in hot oil.,1
307,Bella loves to dance in a ballroom in her pink car.,1
308,Eggs are usually used as cricket ball,1
309,One thing you will see at a Tyre change shop is a compressor,0
310,Umbrellas are good means of communication,1
311,Winter coats are helpful in cold temperatures.,0
312,He ate an apple,0
313,Pencils contain a chocolate core,1
314,he cut the cheese with knife,0
315,He took his family to restaurant for dinner,0
316,Players play soccer with sports shoes,0
317,His reflection was invisible in the mirror.,1
318,He was eating hotdogs,0
319,I will play the table in class tomorrow in front of students,1
320,A lathe is used to shape material.,0
321,Water is a drink with brown colour,1
322,People use computer to make money.,0
323,A policeman carries a sword.,1
324,People can row boats.,0
325,bridges are built to attract tourists,1
326,He puts nails on his sandwich,1
327,Something you find in a living room is a chair,0
328,A fox is a bird,1
329,He puts the lotion in the basket,0
330,You are likely to meet a car accident on the road,0
331,No person would want to live with a cat,1
332,He read a wardrobe in rhe table,1
333,A small rat chases a grey cat away,1
334,She went to the hospital to have a surgery.,0
335,The keyboard makes a clicking sound when it is typed on.,0
336,Chalk is a common food item at birthday parties.,1
337,A fan is a baby kangaroo,1
338,He drove his car down the river.,1
339,Cars have got ten wheels,1
340,He clicked the computer screen with mouse,0
341,She will give birth after 2 months of pregnancy,1
342,A passport is necessary to travel from one country to another.,0
343,Jonathan smells bad when organic litter is near,0
344,A spaceship is a way to get from one side of a water way to another.,1
345,he bought a gift for his friend's funeral,1
346,she applied toothpaste on her face in summer,1
347,Seven quarters is equal to one whole.,1
348,Phones grow on trees,1
349,Permanent marker can be erased more easily than crayon,1
350,It is likely that she will get into university with her fail in the qualifying exam,1
351,He called his wife on her pen,1
352,She put a train in the car.,1
353,The steel plank was floating on the lake,1
354,He stored rice in a pen drive,1
355,"A basil plant needs sun, water and soil in order to flourish.",0
356,I ride a leopard to work every day,1
357,You can use a pool to swim,0
358,He drove the truck from continent to continent.,1
359,I walked on land,0
360,There are four mountains around the table,1
361,The ant rode the bike.,1
362,He checked time on his watch,0
363,The criminal was sentenced to 2 years in library.,1
364,He was swimming in a swimming pool,0
365,Bill has got two friends in Belgic,0
366,The unicorn went down the hole.,1
367,My Dog eats wood for dinner.,1
368,Eating a lot of sand can cause obesity,1
369,He waved hands at his bike,1
370,john parked his car in the bathroom,1
371,He was eating a book,1
372,A person must eat more meat to have a longer life,1
373,He liked the food made by the dog,1
374,He got into the bathtub to sleep.,1
375,"Beef stew should be cooked at 3,250 degrees for 36 hours",1
376,She eat a lot of food.,0
377,You can find windows on a building,0
378,It is desirable to put children's in jail at the age of six,1
379,Work is going to make money.,1
380,the student uses a wand to take the test,1
381,A purse is a fashionable way to carry around roller blades.,1
382,A kite is flying in the air.,0
383,He went to saloon to do a hair cut,0
384,"When driving, it's important to keep both hands on the steering wheel.",0
385,He took his animal to a painter for treatment,1
386,Some dogs bite men,0
387,The cops arrested the Thief,0
388,Mom put baby into the stroller to walk to the park,0
389,The school went to her,1
390,He drives a steamship at his job in the stadium.,1
391,he was eating cake,0
392,You would eat a horse because you are hungry,1
393,He travelled to Europe by plane.,0
394,The man threw the garbage into the dumpster,0
395,"After throwing a ball upwards, it will keep going up",1
396,Some dogs jump from one branch to another on a tree,1
397,The babies have careers.,1
398,people usually eat soup with spoons,0
399,He unlocked the wall,1
400,She cooked rice in the bathtub.,1
401,He gave her a necklace for her birthday.,0
402,He replaced the bulb in the lamp with a salmon,1
403,Edward installed solar panels on the roof,0
404,Four plus six equals ten,0
405,I ate a bike wheel,1
406,Home auto cleans itself.,1
407,The sailboat flew high into the sky.,1
408,She walked into the house,0
409,A paperclip clips paper together.,0
410,Music makes humans feel alright.,0
411,I wear clothes everyday.,0
412,The students went to the teacher to get the assignment corrected,0
413,He was watching his favorite show in television,0
414,The dog barked at the horse,0
415,She used a telephone to call her mother,0
416,He caught a fish with a fishing rod,0
417,Girls have three boobs,1
418,The chef cooked food on stove,0
419,He was playing a shoe,1
420,The doctor checked the temperature with thermometer,0
421,They were catching fish in the cooker,1
422,Students teach teachers,1
423,He was drinking cake to quench his thirst,1
424,He was washing his car with water,0
425,He was doing exercise in fridge,1
426,Protecting your own interests is a matter of survival.,0
427,He sent an email from his fridge,1
428,John likes to have ice cream after dinner.,0
429,He saw a spider web,0
430,The man hit a home run.,0
431,She ate dirt for breakfast.,1
432,At night moonlight show their path,0
433,The weather is so cold that it began to snow.,0
434,She sewed an outfit on the sewing machine. She sewed a,0
435,water is essential for health,0
436,A sailboat is docked at the pier.,0
437,a dog wags its tail when they are excited,0
438,She was wearing spoon for bad eyes,1
439,The driver started the car engine with the key,0
440,12345 are the first letters of a standard English keyboard,1
441,Bears eat benches,1
442,I let the tiger drive my car.,1
443,He was playing cards game with his friends,0
444,The terrorist arrested the military.,1
445,A doctor examines your body,0
446,He poured a tall glass of mud.,1
447,His neighbor has donated his Sweat,1
448,The  mat sat on the cat.,1
449,he put the books in the wine cellar,1
450,He put the chair in the room,0
451,I like to eat a bowl of popcorn during movie time,0
452,he wrote with a car,1
453,He wore a sleeveless shirt,0
454,The baby played with fire.,1
455,The universe is endless.,0
456,He likes to wear shirt,0
457,A generator generates electricity,0
458,The people are shouting,0
459,A farmers market is a good place to find fresh produce.,0
460,a movie is meant simply to be viewed,0
461,He covered the bed with a bedspread,0
462,Printers print in white paper,0
463,ships are used to teleportation of materials and peoples,1
464,People who catch criminals for living are called fishermen,1
465,We need to breath Oxygen to live,0
466,He pluck the flower from the stone,1
467,Top hats are no longer worn as much as in previous years,0
468,He ate a tomato from the fridge,0
469,The sun revolves around the Earth,1
470,A girl was driving the car,0
471,It was raining and he was holding the mountain,1
472,People built temple to watch movies,1
473,We always go to park and play during school holidays,0
474,A guitar is a musical instrument,0
475,A caterpillar ate a dog.,1
476,Most families have their own train,1
477,we can play with a football,0
478,A mat is made of iron,1
479,Silver is for making food,1
480,She made a doll with cotton.,0
481,"If a person wants to exercise, they go to a gym.",0
482,we can play cricket with the basket ball,1
483,I would learn a language because i need to travel,0
484,She can see a ship in the sea,0
485,He listened to the music on mobile phone,0
486,The pen ran out of ink,0
487,He asked his dog to help in his office work,1
488,She took the wardrobe out of the clothes,1
489,You can improve your wifi signal by removing your teeth between your device and router,1
490,He paid the bill with his credit card,0
491,A barber shop is for dining out.,1
492,Lightning is seen after thunder,1
493,people jump from building to avoid stairs,1
494,He was painting the house with brush,0
495,A lion is something you will find at a mall,1
496,The chicken laid an egg,0
497,A man walked into the bank and made a deposit,0
498,Many Americans can eat at restaurants.,0
499,My favorite fruit is apple.,0
500,The policeman gave him a ticket for speeding.,0
501,George went to the basement to get some sun,1
502,He was so sad that he couldn't stop smiling.,1
503,He wore helmet to protect his head,0
504,We can see stars at day,1
505,About fifty people get in to a bus,0
506,The two children threw a ball back and forth.,0
507,staying healthy requires drinking more whiskey,1
508,He wore glasses for eye,0
509,He murdered the shopkeeper with rifle,0
510,English is a universal bird,1
511,Books are suppose to be read,0
512,He checked the time in his pen,1
513,She went to the bookstore to get ready for her wedding.,1
514,The dog was chasing his wings,1
515,He put on his shoes and went outside,0
516,The horse barked because he heard people walking down the street.,1
517,He poured coffee into pizza.,1
518,she went to library to watch a movie.,1
519,Water in solid form is liquid.,1
520,An ant is smaller then an atom.,1
521,You would apply for volunteer work because you want money,1
522,Driver of a bus usually sits in the rearmost seat,1
523,The cat wants to go through the door.,0
524,He went to blood bank to eat food,1
525,He was travelling to office in his cooker,1
526,Cyclists ride a zebra in a competition,1
527,The pilot was flying the plane,0
528,she put a giraffe in the fridge.,1
529,A car needs four wheels and a blender in order for it to be standard.,1
530,The newly married couple gave birth to a dog,1
531,The President Ordered the Military to Attack,0
532,a man drink beer in a hospital,1
533,They were playing football in the ground,0
534,My nose is stuffed with ham.,1
535,She washes her hair everyday with a mild shampoo,0
536,She drank air from her water-bottle,1
537,"Since my friend is a recovering alcoholic, she only drinks sodas at restaurants.",0
538,He went to theater to watch movie,0
539,He made real contact lenses with match sticks,1
540,The kitten ran through the sun.,1
541,Gunpowder can burn for hours,1
542,she put a ice cream into the fridge,0
543,"Stacey wanted to have some fun, so she went to church",1
544,Weapons are used in marriage,1
545,Tom went to the job interview because he wanted money,0
546,he withdrew pen from the bank,1
547,I will be at the club tomorrow for my antenatal.,1
548,He deposited money in the bank,0
549,My wall is African American.,1
550,A library contains tons of bookshelves,0
551,the guy won in the election,0
552,Dogs like eating vegetables,1
553,She drove her car around the supermarket to collect groceries,1
554,He wrote a letter to his wife on a stove,1
555,He wrote in a paper with a pen,0
556,She killed a deer when she went hunting.,0
557,You find wood in tears,1
558,I buy milk and put it in the fridge.,0
559,A flamingo is a type of bird,0
560,He was playing games on his computer,0
561,A weightlifter must life weights to qualify as a weightlifter.,0
562,birds can fly long distances,0
563,We turn the AC on to cool ourselves down.,0
564,He mowed the lawn in the morning.,0
565,She put an Indian in the oven.,1
566,She kicked the ball down the street.,0
567,The waiter brought a silver spoon to eat.,1
568,He used warm clothing for skying,0
569,The dog was running in the sky,1
570,My cat is as big as elephant.,1
571,Hybrid cars pollute a lot in the city,1
572,Apples grow on trees.,0
573,She have wolf pet named muffin,1
574,A total of 2000 students enrolled into the University of Portsmouth this year.,0
575,It is tuna day.,1
576,He went to the super market to buy parents,1
577,I looked into the mirror.,0
578,He watch television daily,0
579,Cats are commonly kept as dogs.,1
580,A hot mug of coffee is a great way to go to sleep.,1
581,The girl rides the dog.,1
582,Cockroaches are white insects,1
583,If you want to go to shopping then you should go to a shopping mall,0
584,the first thing people usually do in the morning is eating a pot roast,1
585,He needs to close his eyes to stop talking.,1
586,My friend brushed her hair with a brush.,0
587,The girl has severe blue skin in public.,1
588,Senators serve drinks to thirsty customers.,1
589,The grass is green when it rains.,0
590,The little boy ate the tree.,1
591,I have a flying car.,1
592,A car key is needed to power on the car,0
593,He kept a cow on the shelf,1
594,To cook pasta you need poison.,1
595,There was a horse hissing at a snake.,1
596,There are never any Sundays in July,1
597,You can learn to speak many languages if you practice daily.,0
598,If you want to get something then you should buy it.,0
599,Sometimes drinking alcohol causes accidents,0
600,Boo is what a ghost says on labor day.,1
601,lungs are in the head,1
602,Water contains alcohol,1
603,You can find pen and paper at the office.,0
604,"Oranges are round, juicy, and sweet.",0
605,He opened the door with key,0
606,I saw a baby carrying a man.,1
607,He is driving the tree,1
608,money is cultivated in fields,1
609,He ate a large hamburger,0
610,she collected stones to build a bonfire,1
611,He puts the paint in his mouth,1
612,Tom eats the newspaper.,1
613,Dogs are tall animals.,1
614,You can hang a picture putting it into a frame,0
615,The school went to a jail.,1
616,The King  is a queens husband.,0
617,A mountain is higher than a valley,0
618,Cookies are a well-loved dessert.,0
619,He boiled the water on fridge,1
620,A coat is made of wool,0
621,You need a waffle maker to call someone.,1
622,People fly on planes to travel far in a short time,0
623,The dog went inside a can of dog food.,1
624,She put a cobra in her handbag,1
625,People can ride a goat at summer,1
626,He took his bicycle to the doctor for repair,1
627,There was a house made of bricks.,0
628,Lina put a fish in the toaster.,1
629,There was an eagle flying in the sky.,0
630,She rubbed trash on her face.,1
631,He went to science laboratory to play cricket,1
632,The family takes a family vacation to space.,1
633,smoking causes cancer,0
634,Ryan is calling his mom on the phone.,0
635,A fire can be extinguished using water.,0
636,The temperature is high in Africa.,0
637,She was eating an ice cream,0
638,He ate dinner at a restaurant,0
639,To be healthy you should make sure to give someone vegetables everyday.,1
640,The boy happily chewed a piece of glass.,1
641,She goes flying in the pool.,1
642,An opera is a type of party,1
643,Angela called the commercials because she was at risk,1
644,We ate a house for lunch.,1
645,There was a cockroach inside the can.,0
646,Part of walking a toaster is cleaning up after them.,1
647,He makes a beautiful painting.,0
648,sun makes the earth cold,1
649,The boy throws a football .,0
650,The bar is useful when you have a hygiene issue.,1
651,My snake enjoys singing in the shower.,1
652,SHE LOVES TO EAT A BOAT.,1
653,You can find bricks in a groceries store,1
654,You will find ships at an airport,1
655,She died from a finger touch.,1
656,You find students in a school,0
657,Generally people sleep during night,0
658,Being alone is usually very funny for dogs,1
659,Raccoons often read picture books.,1
660,He went for fishing to a river and caught one fish,0
661,Golfers play athleticism,1
662,You can park a motorbike in a parking lot,0
663,Her favorite hobby is to swim in the skate park.,1
664,He kicked an anvil into the post.,1
665,A cop pointed his gun at a thief and fired a bullet,0
666,There was a mammoth in the zoo.,1
667,John drove his car to the store after dinner,0
668,all rivers are from mountains,0
669,The woman Flies in a hot air ballon,0
670,Money is high demand to live.,0
671,Doctor arrested the criminal,1
672,I went to the hospital to pick up my eye prescription.,0
673,"The last thing you do when you go to see a movie, is go home.",0
674,He needs to play hard to pass in the examination,1
675,He filled water in a bottle,0
676,He cooked a recipe that he has seen on the oven,1
677,The girl ate a diamond.,1
678,He put a fly in the fridge.,1
679,You can drive your car to a museum,0
680,during war soldiers started texting to enemy,1
681,His car kept overheating so he brought it in to his mechanic.,0
682,Before driving a car you have to get a license.,0
683,We eat dinner in the afternoon,1
684,She let her dog drive her car,1
685,Jhone have a pet tiger,1
686,If you want to sail the sea you need a boat,0
687,You can go for swimming in a basketball court,1
688,She went to the movies to watch a new movie.,0
689,He was driving the car on the sea,1
690,Sports are a great way to meet new people.,0
691,biting on the computer is easy.,1
692,Aliens write books,1
693,He killed a man with cotton candy.,1
694,he drank a well of water,1
695,Punk Music is all about Moshing.,0
696,Susy cleaned her home with pork grease,1
697,The golfer went into the golf hole,1
698,she used stick to cut fish,1
699,Travis rides his bike to school.,0
700,Everyday he opens his shop and starts throwing dirt on the floor,1
701,Icecream is baked in an Oven.,1
702,Biker puts gasoline in bike tank,0
703,He boiled the water to drink,0
704,He drives a rocket in the road,1
705,Texas is a small state.,1
706,A car parked in the garage.,0
707,The boat is in the mud.,1
708,He cooked sphegatti in his kitchen,0
709,You must circulate with your car on the road,0
710,He put fish on the chair.,1
711,Bathrooms come equipped with candy canes.,1
712,Something you will find at a zoo is a Giraffe,0
713,A video recorder can be used to tape  television show,0
714,Train will leave the airport in ten minutes,1
715,He filled the bathtub with water.,0
716,You can use a table to live in,1
717,Jack put the stack of cards in his desk,0
718,He goes to a gym to do fitness workout,0
719,My mom turned on the tv with the remote.,0
720,Kerosene is necessary for cultivation,1
721,Jack put his car in the washing machine,1
722,This film was directed by the famous film director,0
723,He turned on the light since it was dark,0
724,He typed 400 words in 10 minutes with his electronic cigarette.,1
725,He jumped from the fridge to commit suicide,1
726,You can wave to salute a person formally,0
727,Making money is hardwork for any human.,0
728,The dishes sit on the table.,0
729,Death happens when you are breathing but never wake up.,1
730,The child reads a book.,0
731,He wants to become an astronaut,0
732,Cats and dogs can be pals,0
733,An ocean is larger then a puddle.,0
734,They eat at the cafe.,0
735,He put worms on his menu.,1
736,He went to the grocery store to buy some fruits.,0
737,He put milk into his coffee,0
738,The President is a decision maker.,0
739,He closed one eye means he closed both eyes,1
740,A navaja is a type of knife,0
741,He was unhappy in his job and decided to try and find some new kitchen appliances.,1
742,A television is squared,1
743,Usually people sleep in kitchen,1
744,Scientists sent satellite in a car to space,1
745,You will be buying vegetables from the theater,1
746,A microwave is a communication device,1
747,while she watching the river a fish said to her stay away,1
748,He slept in the freezer,1
749,The last thing you do when you take a course is have an introduction,1
750,Sally writes her own paper to pass the class.,0
751,Children play soccer with a gerbil,1
752,she had stone with her to eat,1
753,The dog fell in the tea cup,1
754,He won the whole universe.,1
755,Sue likes to wear boxes to the beach,1
756,Barbie is RObots girl.,1
757,The plant grows on pluto.,1
758,he drove a baby,1
759,She lit herself a cigarette.,0
760,Susie cuts hair for a living.,0
761,He took spoon for headache,1
762,You can use a car to fly,1
763,I put the books in the washing machine.,1
764,When you are sick you go to a lawyer,1
765,He bought a truck at the local grocery store.,1
766,"A child might call her father ""Papa""",0
767,Reading books is a very common hobby,0
768,Fishing roads are used to catch bears,1
769,Computers is an ingredient used in preparing food,1
770,The plane is flying between the clouds.,0
771,He used his motor bike to cut the grasses.,1
772,I ate a pile of berries for breakfast,0
773,Seeing is a learning task.,1
774,she cant hold hunger she ran in to a restaurant,0
775,The doctors composed a song in a studio,1
776,Old books are as good as new books,0
777,The pony lives in the  barn.,0
778,Soda that is kept in the sun turns into a slush.,1
779,The water from the shower is warm.,0
780,He put zebra on the washing machine.,1
781,Mustaches are usually located on faces.,0
782,I put the oven in the car.,1
783,He visited a vet to purchase a painting,1
784,You are likely to find a hotel room in Idaho.,1
785,She talked her dog down the street.,1
786,the street dogs were chasing the pet cat,0
787,The NBA is a tennis league,1
788,Situation: You drink whiskey mixed with soda.,0
789,He used a cellphone to call the ambulance.,0
790,People go to the butcher to have their hair cut.,1
791,Music is soothing activity .,0
792,Eat all your vegetables.,0
793,The air is super cool in egypt,1
794,The astronauts went to the sun.,1
795,Stanley keeps his computer in his pocket at all times.,1
796,You put  luncheon meat  in the toaster to make toast.,1
797,The girl dove in the mud on the beach.,1
798,Automobiles use different fuels,0
799,A wallet contains teddies,1
800,people like to smoke cigarette,0
801,He wrote his name on the white paper with blue pen in his right hand.,0
802,You can use a finger to warn.,0
803,Working is an pointless task in life.,1
804,A bird was flying in the sky,0
805,One dog can eat a whole whale.,1
806,the girl zaps for a car.,1
807,You need a map to type on a computer,1
808,Walls are always painted,0
809,Shoes are worn on hands,1
810,Fire can destroy a building,0
811,I drove my car into my hand luggage.,1
812,He eats from a cereal bowl,0
813,I kiss sun every mooning.,1
814,You find monitors in a graveyard,1
815,Birds lay eggs.,0
816,Rabbits are animals you can ride on.,1
817,he rode his horse to the town square,0
818,Boiling water is hot.,0
819,He like to eat Rice,0
820,Sarah has got three mates in her apartment,0
821,She poured trees into a cup.,1
822,The airplane entered the hangar,0
823,The woman cooked a delicious dress.,1
824,Swimming is something anyone can do.,1
825,Sound is sense for your ears.,0
826,She kisses her baby every night.,0
827,Grandpas are always the parents of someone.,0
828,The mechanic sank  my car while it was in the shop.,1
829,"When there is a serious accident, you call 911",0
830,She gets scared by watching happy movies.,1
831,He found a missing watch inside his wardrobe.,0
